Appellation,Robert,J.Robinson,J.Suckling,Prix
Pessac-Léognan,None,16.0,94.5,29.5
Sauternes,None,17.0,91.0,51.83
Listrac,None,15.0,92.0,15.0
Pauillac,None,16.5,94.0,240.0
Vin de France,None,None,None,195.0
Saint-Emilion,None,None,92.5,120.0
Graves,None,15.5,92.0,17.67
Pomerol,None,16.0,96.0,225.0
Bordeaux Blancs Secs,None,16.5,94.5,160.0
Haut-Médoc,None,None,91.5,17.64
Margaux,None,14.0,91.5,34.5
Pessac-Léognan,None,18.0,98.0,608.5
Pessac-Léognan,None,16.0,93.0,24.0
Pomerol,None,17.5,97.5,305.67
Saint-Emilion,None,15.5,94.0,96.0
Sauternes,None,None,None,107.92
Pomerol,None,16.0,93.0,67.67
Margaux,None,16.0,92.5,41.17
Barsac,None,16.5,None,54.0
Haut-Médoc,None,16.5,91.0,12.5
Pomerol,None,None,93.0,30.0
Pessac-Léognan,None,15.5,92.5,27.0
Haut-Médoc,None,15.5,92.0,32.0
Pessac-Léognan,None,None,None,48.0
Pessac-Léognan,None,None,92.0,23.5
Haut-Médoc,None,16.5,None,129.0
Saint-Julien,None,15.5,92.0,60.0
Saint-Estèphe,None,17.0,96.0,59.0
Pessac-Léognan,None,16.5,94.5,33.0
Sauternes,None,19.0,None,40.0
Saint-Emilion,None,17.0,None,505.0
Saint-Emilion,None,None,94.0,71.0
Saint-Emilion,None,None,None,13.0
Margaux,None,17.0,94.0,65.83
Fronsac,None,16.0,92.0,25.33
Saint-Emilion,None,16.0,92.5,39.0
Saint-Julien,None,16.0,96.0,80.0
Pauillac,None,16.0,91.5,27.0
Saint-Emilion,None,16.5,93.0,42.0
Saint-Georges-Saint-Emilion,None,None,91.0,25.83
Haut-Médoc,None,16.0,93.5,22.68
Margaux,None,18.0,95.5,82.0
Pessac-Léognan,None,16.5,97.5,131.0
Pomerol,None,15.0,92.5,29.0
Margaux,None,17.5,100.0,1.0
Pessac-Léognan,None,None,94.5,25.2
Pauillac,None,18.0,97.5,597.83
Pomerol,None,None,None,51.0
Listrac,None,16.0,92.0,23.5
Saint-Emilion,None,16.0,95.0,140.0
Francs Côtes de Bordeaux,None,16.0,93.0,21.33
Saint-Emilion,None,None,95.5,157.33
Saint-Emilion,None,None,91.5,49.0
Sauternes,None,18.0,None,45.0
Moulis,None,15.0,92.0,39.0
Pessac-Léognan,None,None,None,38.64
Pessac-Léognan,None,None,94.5,28.5
Saint-Emilion,None,18.0,98.0,720.0
Saint-Emilion,None,16.0,98.0,180.0
Saint-Julien,None,16.5,None,180.0
Pomerol,None,17.0,97.5,168.0
Saint-Estèphe,None,17.0,93.0,34.0
Saint-Emilion,None,16.5,95.0,42.0
Lalande de Pomerol,None,16.0,95.0,105.0
Médoc,None,15.0,None,29.5
Margaux,None,17.5,97.0,680.0
Saint-Estèphe,None,17.0,94.0,51.0
Moulis,None,15.0,92.5,19.9
Pauillac,None,16.0,94.0,230.0
Margaux,None,16.5,95.0,79.0
Pauillac,None,None,None,42.5
Pomerol,None,16.0,94.0,102.0
Saint-Estèphe,None,None,92.0,22.0
Pessac-Léognan,None,15.5,93.0,145.0
Saint-Emilion,None,18.0,96.0,150.0
Castillon Côtes de Bordeaux,None,15.5,93.5,19.33
Saint-Emilion,None,17.0,96.5,73.33
Saint-Emilion,None,16.5,95.0,124.0
Médoc,None,16.0,91.0,31.17
Pomerol,None,17.5,94.0,99.0
Pomerol,None,16.5,99.0,275.0
Pomerol,None,None,91.5,30.0
Puisseguin-Saint-Emilion,None,16.5,92.0,35.0
Saint-Julien,None,16.5,94.5,43.0
Saint-Emilion,None,17.5,96.0,109.0
Saint-Emilion,None,16.5,95.5,175.0
Saint-Estèphe,None,16.5,93.5,40.32
Pomerol,None,None,None,139.0
Saint-Emilion,None,16.5,96.5,73.33
Margaux,None,17.0,97.0,226.0
Saint-Emilion,None,None,90.5,18.0
Pomerol,None,None,None,59.0
Saint-Emilion,None,16.0,93.5,29.16
Pessac-Léognan,None,15.0,93.0,29.08
Margaux,None,None,None,65.83
Pessac-Léognan,None,17.0,100.0,710.0
Bordeaux Blancs Secs,None,None,None,28.5
Pauillac,None,17.0,99.0,1.0
Pomerol,None,None,None,175.0
Barsac,None,17.5,93.0,54.0
Bordeaux Blancs Secs,None,15.5,93.5,48.0
Pomerol,None,16.5,96.5,224.0
Saint-Emilion,None,15.0,95.0,118.0
Sauternes,None,None,None,21.0
Sauternes,None,18.0,None,81.0
Saint-Emilion,None,None,None,331.67
Saint-Estèphe,None,16.5,None,49.0
Pessac-Léognan,None,16.0,94.5,49.0
Saint-Emilion,None,16.5,None,53.0
Pomerol,None,16.5,95.0,99.0
Saint-Emilion,None,None,91.5,40.0
Castillon Côtes de Bordeaux,None,None,None,29.0
Haut-Médoc,None,None,92.5,15.75
Sauternes,None,16.0,93.0,40.0
Pomerol,None,17.5,97.0,680.0
Saint-Emilion,None,16.5,95.0,196.0
Pauillac,None,17.0,95.0,414.0
Pauillac,None,16.5,95.5,81.17
Saint-Emilion,None,None,92.5,19.83
Pauillac,None,15.5,93.0,41.67
Pomerol,None,None,93.5,52.8
Saint-Emilion,None,17.0,94.0,55.17
Sauternes,None,17.5,None,60.0
Margaux,None,16.0,93.0,150.0
Pessac-Léognan,None,16.5,92.0,101.0
Saint-Emilion,None,18.5,96.0,499.0
Pessac-Léognan,None,16.0,97.0,198.33
Saint-Julien,None,15.5,93.5,24.72
Bordeaux Blancs Secs,None,16.5,96.5,350.0
Pauillac,None,16.5,96.0,55.0
