Appellation,Robert,J.Robinson,J.Suckling,Prix
Saint-Emilion,None,None,92.5,67.0
Saint-Emilion,None,16.5,93.5,44.0
Haut-Médoc,None,16.5,88.0,31.17
Lalande de Pomerol,None,16.5,92.0,28.5
Saint-Estèphe,None,15.5,92.0,37.0
Pessac-Léognan,None,None,93.0,23.67
Margaux,None,17.0,94.0,55.0
Margaux,None,None,None,20.5
Saint-Emilion,None,16.0,93.0,52.0
Pessac-Léognan,None,None,93.0,25.5
Saint-Estèphe,None,16.0,92.5,36.0
Saint-Emilion,None,None,92.0,21.5
Castillon Côtes de Bordeaux,None,14.5,91.0,21.0
Saint-Emilion,None,15.5,93.5,52.0
Margaux,None,17.0,94.0,40.5
Saint-Julien,None,None,None,22.0
Saint-Estèphe,None,16.5,93.0,34.0
Haut-Médoc,None,15.5,94.0,38.0
Saint-Estèphe,None,15.5,93.0,52.0
Pessac-Léognan,None,16.5,96.0,74.0
Sauternes,None,None,None,23.5
Pomerol,None,14.5,95.0,45.0
Saint-Estèphe,None,16.0,92.0,21.0
Pessac-Léognan,None,16.0,98.0,103.0
Haut-Médoc,None,16.5,92.0,79.0
Haut-Médoc,None,16.0,92.0,29.67
Pauillac,None,16.5,95.0,65.0
Saint-Estèphe,None,14.5,93.0,28.5
Saint-Emilion,None,16.0,92.0,63.0
Saint-Estèphe,None,16.0,92.0,33.0
Pessac-Léognan,None,16.5,97.0,88.0
Saint-Estèphe,None,15.5,88.5,21.67
Bordeaux,None,None,92.5,9.33
Haut-Médoc,None,None,None,18.67
Saint-Emilion,None,None,None,24.5
Saint-Julien,None,16.5,92.0,26.5
Saint-Emilion,None,None,93.0,79.0
Sauternes,None,15.5,None,25.0
Pessac-Léognan,None,14.0,90.5,31.0
Saint-Emilion,None,15.0,93.0,48.0
Barsac,None,16.5,95.0,46.67
Pauillac,None,14.5,93.0,36.0
Pessac-Léognan,None,16.5,95.0,50.5
Pauillac,None,17.0,93.0,66.0
Saint-Estèphe,None,None,92.0,17.5
Pessac-Léognan,None,16.0,95.0,28.67
Pauillac,None,17.5,98.0,1.0
Pomerol,None,16.5,96.0,53.0
Pauillac,None,15.5,94.0,37.0
Pauillac,None,18.5,96.0,271.0
Bordeaux Blancs Secs,None,None,None,22.33
Castillon Côtes de Bordeaux,None,16.5,93.0,30.0
Saint-Emilion,None,16.0,94.0,36.42
Saint-Julien,None,15.5,96.0,119.17
Saint-Emilion,None,17.0,93.0,42.0
Saint-Emilion,None,18.0,98.0,498.0
Bordeaux Blancs Secs,None,None,None,22.33
Pessac-Léognan,None,16.0,91.0,42.0
Saint-Emilion,None,16.5,95.0,32.5
Pessac-Léognan,None,16.5,92.0,45.25
Margaux,None,16.0,95.5,70.0
Moulis,None,16.0,94.0,39.0
Saint-Julien,None,17.5,99.0,138.0
Saint-Emilion,None,16.0,94.0,38.5
Pauillac,None,17.0,99.0,150.0
Saint-Estèphe,None,16.5,92.0,24.0
Pomerol,None,None,92.0,33.0
Saint-Estèphe,None,17.5,94.0,46.0
Haut-Médoc,None,None,90.0,24.0
Sauternes,None,17.0,94.0,61.33
Pauillac,None,17.0,94.5,67.0
